,name,composer,time_signature,styles
0,Ballade,Debussy,4/4,Impressionism
1,Berceuse Heroique,Debussy,2/2,Impressionism
2,Children's Corner Part 1,Debussy,4/4,Impressionism
3,Children's Corner Part 2,Debussy,2/2,Impressionism
4,Children's Corner Part 3,Debussy,3/4,Impressionism
5,Children's Corner Part 4,Debussy,4/4,Impressionism
6,Children's Corner Part 5,Debussy,4/4,Impressionism
7,Children's Corner Part 6,Debussy,2/4,Impressionism
8,D'un Cahier d'Esquisses,Debussy,6/8,Impressionism
9,Danse Bohemienne,Debussy,2/4,Impressionism
10,Danse,Debussy,6/8,Impressionism
11,Deux Arabesques Part 1,Debussy,4/4,Impressionism
12,Deux Arabesques Part 2,Debussy,4/4,Impressionism
13,Elegie,Debussy,4/4,Impressionism
14,Estampes Part 1,Debussy,4/4,Impressionism
15,Estampes Part 2,Debussy,2/4,Impressionism
16,Estampes Part 3,Debussy,2/2,Impressionism
17,Etudes Part 10,Debussy,9/8,Impressionism
18,Etudes Part 11,Debussy,3/4,Impressionism
19,Etudes Part 12,Debussy,3/8,Impressionism
20,Etudes Part 1,Debussy,4/4,Impressionism
21,Etudes Part 2,Debussy,4/4,Impressionism
22,Etudes Part 3,Debussy,6/8,Impressionism
23,Etudes Part 4,Debussy,3/4,Impressionism
24,Etudes Part 5,Debussy,3/8,Impressionism
25,Etudes Part 6,Debussy,3/4,Impressionism
26,Etudes Part 7,Debussy,2/4,Impressionism
27,Etudes Part 8,Debussy,6/8,Impressionism
28,Etudes Part 9,Debussy,4/4,Impressionism
29,Hommage A Haydn,Debussy,3/4,Impressionism
30,Images 1ere serie Part 1,Debussy,4/8,Impressionism
31,Images 1ere serie Part 2,Debussy,3/2,Impressionism
32,Images 1ere serie Part 3,Debussy,2/4,Impressionism
33,Images 2eme serie Part 1,Debussy,4/4,Impressionism
34,Images 2eme serie Part 2,Debussy,4/4,Impressionism
35,Images 2eme serie Part 3,Debussy,3/4,Impressionism
36,Images Oubliees Part 1,Debussy,3/4,Impressionism
37,Images Oubliees Part 2,Debussy,3/4,Impressionism
38,Images Oubliees Part 3,Debussy,4/4,Impressionism
39,L'Isle joyeuse,Debussy,4/4,Impressionism
40,La Boite a Joujoux Part 1,Debussy,2/2,Impressionism
41,La Boite a Joujoux Part 2,Debussy,3/4,Impressionism
42,La Boite a Joujoux Part 3,Debussy,3/4,Impressionism
43,La Boite a Joujoux Part 4,Debussy,4/4,Impressionism
44,La Boite a Joujoux Part 5,Debussy,6/8,Impressionism
45,La Boite a Joujoux Part 6,Debussy,2/2,Impressionism
46,La Plus que Lente,Debussy,3/4,Impressionism
47,Les soirs illuminés par l'ardeur du charbon,Debussy,4/4,Impressionism
48,Masques,Debussy,6/8,Impressionism
49,Mazurka,Debussy,3/4,Impressionism
50,Morceau de concours,Debussy,2/4,Impressionism
51,Nocturne,Debussy,4/4,Impressionism
52,Pièce pour le Vêtement du blessé,Debussy,3/4,Impressionism
53,Pour le Piano Part 1,Debussy,3/4,Impressionism
54,Pour le Piano Part 2,Debussy,3/4,Impressionism
55,Pour le Piano Part 3,Debussy,2/4,Impressionism
56,"Preludes, Livre 1 part 10",Debussy,6/4,Impressionism
57,"Preludes, Livre 1 part 11",Debussy,2/4,Impressionism
58,"Preludes, Livre 1 part 12",Debussy,2/4,Impressionism
59,"Preludes, Livre 1 part 1",Debussy,3/4,Impressionism
60,"Preludes, Livre 1 part 2",Debussy,2/4,Impressionism
61,"Preludes, Livre 1 part 3",Debussy,4/4,Impressionism
62,"Preludes, Livre 1 part 4",Debussy,3/4,Impressionism
63,"Preludes, Livre 1 part 5",Debussy,2/4,Impressionism
64,"Preludes, Livre 1 part 6",Debussy,4/4,Impressionism
65,"Preludes, Livre 1 part 7",Debussy,4/4,Impressionism
66,"Preludes, Livre 1 part 8",Debussy,3/4,Impressionism
67,"Preludes, Livre 1 part 9",Debussy,3/8,Impressionism
68,"Preludes, Livre 2 part 10",Debussy,4/4,Impressionism
69,"Preludes, Livre 2 part 11",Debussy,2/4,Impressionism
70,"Preludes, Livre 2 part 12",Debussy,4/8,Impressionism
71,"Preludes, Livre 2 part 1",Debussy,4/8,Impressionism
72,"Preludes, Livre 2 part 2",Debussy,3/4,Impressionism
73,"Preludes, Livre 2 part 3",Debussy,2/4,Impressionism
74,"Preludes, Livre 2 part 4",Debussy,3/8,Impressionism
75,"Preludes, Livre 2 part 5",Debussy,3/4,Impressionism
76,"Preludes, Livre 2 part 6",Debussy,2/4,Impressionism
77,"Preludes, Livre 2 part 7",Debussy,6/8,Impressionism
78,"Preludes, Livre 2 part 8",Debussy,6/8,Impressionism
79,"Preludes, Livre 2 part 9",Debussy,3/4,Impressionism
80,Reverie,Debussy,4/4,Impressionism
81,Suite Bergamasque Part 1,Debussy,4/4,Impressionism
82,Suite Bergamasque Part 2,Debussy,3/4,Impressionism
83,Suite Bergamasque Part 3,Debussy,9/8,Impressionism
84,Suite Bergamasque Part 4,Debussy,4/4,Impressionism
85,The Little Nigar,Debussy,2/4,Impressionism
86,Valse Romantique,Debussy,3/4,Impressionism
87,Gaspard de la Nuit part 1,Maurice Ravel,4/4,Impressionism
88,Gaspard de la Nuit part 2,Maurice Ravel,4/4,Impressionism
89,Gaspard de la Nuit part 3,Maurice Ravel,3/8,Impressionism
90,Jeux d'Eau,Maurice Ravel,4/4,Impressionism
91,Menuet sur le Nom d'Haydn,Maurice Ravel,3/4,Impressionism
92,Menuet,Maurice Ravel,3/4,Impressionism
93,Miroirs part 1,Maurice Ravel,3/4,Impressionism
94,Miroirs part 2,Maurice Ravel,4/4,Impressionism
95,Miroirs part 3,Maurice Ravel,6/8,Impressionism
96,Miroirs part 4,Maurice Ravel,6/8,Impressionism
97,Miroirs part 5,Maurice Ravel,4/4,Impressionism
98,Prelude,Maurice Ravel,3/4,Impressionism
99,Serenade Grotesque,Maurice Ravel,2/4,Impressionism
100,Valses nobles et sentimentales part 1,Maurice Ravel,3/4,Impressionism
101,Valses nobles et sentimentales part 2,Maurice Ravel,3/4,Impressionism
102,Valses nobles et sentimentales part 3,Maurice Ravel,3/4,Impressionism
103,Valses nobles et sentimentales part 4,Maurice Ravel,3/4,Impressionism
104,Valses nobles et sentimentales part 5,Maurice Ravel,3/4,Impressionism
105,Valses nobles et sentimentales part 6,Maurice Ravel,3/2,Impressionism
106,Valses nobles et sentimentales part 7,Maurice Ravel,3/4,Impressionism
107,Valses nobles et sentimentales part 8,Maurice Ravel,3/4,Impressionism
108,À la manière de Borodine,Maurice Ravel,3/4,Impressionism
109,À la manière de Chabrier,Maurice Ravel,6/8,Impressionism
110,12 Variationen ueber ein eigenes Thema,Alban Berg,2/4,Late Romantic
111,Impromptu in E Major,Alban Berg,6/8,Late Romantic
112,Klavierstuck in B minor,Alban Berg,4/4,Late Romantic
113,Klavierstucke in C minor,Alban Berg,3/4,Late Romantic
114,Klavierstucke in C# minor,Alban Berg,4/4,Late Romantic
115,Klavierstucke in F minor,Alban Berg,3/8,Late Romantic
116,Menuet in F Major,Alban Berg,3/4,Late Romantic
117,Thema und Variation in A minor,Alban Berg,6/8,Late Romantic
118,Thema und Variation in f minor,Alban Berg,6/8,Late Romantic
119,Three Piano Pieces part 1,Arnold Schoenberg,2/4,Late Romantic
120,Three Piano Pieces part 2,Arnold Schoenberg,2/4,Late Romantic
121,Three Piano Pieces part 3,Arnold Schoenberg,2/4,Late Romantic
122,10 Easy Pieces Sz. 39 part 0,Bela Bartok,4/4,Nationalism
123,10 Easy Pieces Sz. 39 part 10,Bela Bartok,2/2,Nationalism
124,10 Easy Pieces Sz. 39 part 1,Bela Bartok,2/2,Nationalism
125,10 Easy Pieces Sz. 39 part 2,Bela Bartok,4/4,Modern
126,10 Easy Pieces Sz. 39 part 3,Bela Bartok,2/4,Nationalism
127,10 Easy Pieces Sz. 39 part 4,Bela Bartok,2/4,Modern
128,10 Easy Pieces Sz. 39 part 5,Bela Bartok,4/4,Nationalism
129,10 Easy Pieces Sz. 39 part 6,Bela Bartok,2/4,Nationalism
130,10 Easy Pieces Sz. 39 part 7,Bela Bartok,3/4,Modern
131,10 Easy Pieces Sz. 39 part 8,Bela Bartok,2/4,Nationalism
132,10 Easy Pieces Sz. 39 part 9,Bela Bartok,2/4,Modern
133,14 Bagatelles part 10,Bela Bartok,2/2,Nationalism
134,14 Bagatelles part 11,Bela Bartok,2/4,Modern
135,14 Bagatelles part 12,Bela Bartok,6/8,Nationalism
136,14 Bagatelles part 13,Bela Bartok,4/4,Nationalism
137,14 Bagatelles part 14,Bela Bartok,3/8,Modern
138,14 Bagatelles part 1,Bela Bartok,4/4,Nationalism
139,14 Bagatelles part 2,Bela Bartok,2/2,Modern
140,14 Bagatelles part 3,Bela Bartok,3/4,Modern
141,14 Bagatelles part 4,Bela Bartok,3/4,Nationalism
142,14 Bagatelles part 5,Bela Bartok,2/4,Nationalism
143,14 Bagatelles part 6,Bela Bartok,2/2,Modern
144,14 Bagatelles part 7,Bela Bartok,3/4,Nationalism
145,14 Bagatelles part 8,Bela Bartok,2/4,Modern
146,14 Bagatelles part 9,Bela Bartok,3/4,Nationalism
147,15 Hungarian Peasant Songs part 10,Bela Bartok,2/4,Nationalism
148,15 Hungarian Peasant Songs part 11,Bela Bartok,2/4,Nationalism
149,15 Hungarian Peasant Songs part 12,Bela Bartok,3/4,Nationalism
150,15 Hungarian Peasant Songs part 13,Bela Bartok,2/4,Nationalism
151,15 Hungarian Peasant Songs part 14,Bela Bartok,2/4,Nationalism
152,15 Hungarian Peasant Songs part 15,Bela Bartok,2/4,Nationalism
153,15 Hungarian Peasant Songs part 1,Bela Bartok,2/4,Nationalism
154,15 Hungarian Peasant Songs part 2,Bela Bartok,6/8,Nationalism
155,15 Hungarian Peasant Songs part 3,Bela Bartok,2/4,Nationalism
156,15 Hungarian Peasant Songs part 4,Bela Bartok,3/4,Nationalism
157,15 Hungarian Peasant Songs part 5,Bela Bartok,2/4,Nationalism
158,15 Hungarian Peasant Songs part 6,Bela Bartok,7/8,Nationalism
159,15 Hungarian Peasant Songs part 7,Bela Bartok,2/4,Nationalism
160,15 Hungarian Peasant Songs part 8,Bela Bartok,2/4,Nationalism
161,15 Hungarian Peasant Songs part 9,Bela Bartok,2/4,Nationalism
162,"2 Elegies, Sz. 41 part 1",Bela Bartok,2/4,Modern
163,"2 Elegies, Sz. 41 part 2",Bela Bartok,3/4,Modern
164,2 Romanian Dances Op. 8a part 1,Bela Bartok,4/4,Nationalism
165,2 Romanian Dances Op. 8a part 2,Bela Bartok,4/4,Nationalism
166,3 Hungarian Folksongs from Csik sz. 35a part 1,Bela Bartok,3/4,Nationalism
167,3 Hungarian Folksongs from Csik sz. 35a part 2,Bela Bartok,3/4,Nationalism
168,3 Hungarian Folksongs from Csik sz. 35a part 3,Bela Bartok,4/4,Nationalism
169,4 Dirges sz. 45 part 1,Bela Bartok,2/2,Modern
170,4 Dirges sz. 45 part 2,Bela Bartok,3/4,Nationalism
171,4 Dirges sz. 45 part 3,Bela Bartok,2/2,Nationalism
172,4 Dirges sz. 45 part 4,Bela Bartok,3/4,Modern
173,4 Pieces sz. 22 part 1,Bela Bartok,4/4,Nationalism
174,4 Pieces sz. 22 part 2,Bela Bartok,3/4,Nationalism
175,4 Pieces sz. 22 part 3,Bela Bartok,3/8,Nationalism
176,4 Pieces sz. 22 part 4,Bela Bartok,3/8,Nationalism
177,7 Sketches sz. 44 part 1,Bela Bartok,2/4,Nationalism
178,7 Sketches sz. 44 part 2,Bela Bartok,4/8,Modern
179,7 Sketches sz. 44 part 3,Bela Bartok,3/4,Modern
180,7 Sketches sz. 44 part 4,Bela Bartok,3/4,Modern
181,7 Sketches sz. 44 part 5,Bela Bartok,2/4,Nationalism
182,7 Sketches sz. 44 part 6,Bela Bartok,2/4,Nationalism
183,7 Sketches sz. 44 part 7,Bela Bartok,9/8,Modern
184,9 Little Pieces for Piano Sz. 82 part 1,Bela Bartok,2/2,Nationalism
185,9 Little Pieces for Piano Sz. 82 part 2,Bela Bartok,4/4,Nationalism
186,9 Little Pieces for Piano Sz. 82 part 3,Bela Bartok,6/8,Nationalism
187,9 Little Pieces for Piano Sz. 82 part 4,Bela Bartok,2/4,Nationalism
188,9 Little Pieces for Piano Sz. 82 part 5,Bela Bartok,3/4,Nationalism
189,9 Little Pieces for Piano Sz. 82 part 6,Bela Bartok,2/4,Nationalism
190,9 Little Pieces for Piano Sz. 82 part 7,Bela Bartok,4/4,Nationalism
191,9 Little Pieces for Piano Sz. 82 part 8,Bela Bartok,2/4,Nationalism
192,9 Little Pieces for Piano Sz. 82 part 9,Bela Bartok,3/4,Nationalism
193,Allegro Barbaro sz 49,Bela Bartok,2/4,Nationalism
194,Burlesques sz. 47 part 1,Bela Bartok,3/4,Modern
195,Burlesques sz. 47 part 2,Bela Bartok,4/4,Modern
196,Burlesques sz. 47 part 3,Bela Bartok,3/8,Modern
197,Eight Improvisations on Hungarian Peasant Songs op. 20 part 1,Bela Bartok,3/2,Nationalism
198,Eight Improvisations on Hungarian Peasant Songs op. 20 part 2,Bela Bartok,2/4,Nationalism
199,Eight Improvisations on Hungarian Peasant Songs op. 20 part 3,Bela Bartok,3/4,Modern
200,Eight Improvisations on Hungarian Peasant Songs op. 20 part 4,Bela Bartok,2/4,Nationalism
201,Eight Improvisations on Hungarian Peasant Songs op. 20 part 5,Bela Bartok,2/4,Nationalism
202,Eight Improvisations on Hungarian Peasant Songs op. 20 part 6,Bela Bartok,4/4,Nationalism
203,Eight Improvisations on Hungarian Peasant Songs op. 20 part 7,Bela Bartok,2/4,Nationalism
204,Eight Improvisations on Hungarian Peasant Songs op. 20 part 8,Bela Bartok,2/4,Modern
205,"First Term at the Piano, sz. 53 part 10",Bela Bartok,4/4,Nationalism
206,"First Term at the Piano, sz. 53 part 11",Bela Bartok,4/4,Nationalism
207,"First Term at the Piano, sz. 53 part 12",Bela Bartok,4/4,Nationalism
208,"First Term at the Piano, sz. 53 part 13",Bela Bartok,4/4,Nationalism
209,"First Term at the Piano, sz. 53 part 14",Bela Bartok,4/4,Nationalism
210,"First Term at the Piano, sz. 53 part 15",Bela Bartok,2/4,Nationalism
211,"First Term at the Piano, sz. 53 part 16",Bela Bartok,3/4,Nationalism
212,"First Term at the Piano, sz. 53 part 17",Bela Bartok,4/4,Nationalism
213,"First Term at the Piano, sz. 53 part 18",Bela Bartok,4/4,Nationalism
214,"First Term at the Piano, sz. 53 part 19",Bela Bartok,4/4,Nationalism
215,"First Term at the Piano, sz. 53 part 1",Bela Bartok,4/4,Nationalism
216,"First Term at the Piano, sz. 53 part 20",Bela Bartok,4/4,Nationalism
217,"First Term at the Piano, sz. 53 part 21",Bela Bartok,2/2,Nationalism
218,"First Term at the Piano, sz. 53 part 22",Bela Bartok,4/4,Nationalism
219,"First Term at the Piano, sz. 53 part 23",Bela Bartok,3/4,Nationalism
220,"First Term at the Piano, sz. 53 part 2",Bela Bartok,4/4,Nationalism
221,"First Term at the Piano, sz. 53 part 3",Bela Bartok,4/4,Nationalism
222,"First Term at the Piano, sz. 53 part 4",Bela Bartok,3/4,Nationalism
223,"First Term at the Piano, sz. 53 part 5",Bela Bartok,4/4,Nationalism
224,"First Term at the Piano, sz. 53 part 6",Bela Bartok,4/4,Nationalism
225,"First Term at the Piano, sz. 53 part 7",Bela Bartok,4/4,Nationalism
226,"First Term at the Piano, sz. 53 part 8",Bela Bartok,4/4,Nationalism
227,"First Term at the Piano, sz. 53 part 9",Bela Bartok,3/4,Nationalism
228,For children sz. 42 Book 1 part 10,Bela Bartok,2/4,Nationalism
229,For children sz. 42 Book 1 part 11,Bela Bartok,2/4,Nationalism
230,For children sz. 42 Book 1 part 12,Bela Bartok,2/4,Nationalism
231,For children sz. 42 Book 1 part 13,Bela Bartok,2/4,Nationalism
232,For children sz. 42 Book 1 part 14,Bela Bartok,2/4,Nationalism
233,For children sz. 42 Book 1 part 15,Bela Bartok,2/4,Nationalism
234,For children sz. 42 Book 1 part 16,Bela Bartok,3/4,Nationalism
235,For children sz. 42 Book 1 part 17,Bela Bartok,2/4,Nationalism
236,For children sz. 42 Book 1 part 18,Bela Bartok,2/4,Nationalism
237,For children sz. 42 Book 1 part 19,Bela Bartok,2/8,Nationalism
238,For Children Sz. 42 Book 1 part 1,Bela Bartok,2/4,Nationalism
239,For children sz. 42 Book 1 part 20,Bela Bartok,2/4,Nationalism
240,For children sz. 42 Book 1 part 21,Bela Bartok,2/4,Nationalism
241,For children sz. 42 Book 1 part 22,Bela Bartok,3/4,Nationalism
242,For children sz. 42 Book 1 part 23,Bela Bartok,2/4,Nationalism
243,For children sz. 42 Book 1 part 24,Bela Bartok,2/4,Nationalism
244,For children sz. 42 Book 1 part 25,Bela Bartok,2/4,Nationalism
245,For children sz. 42 Book 1 part 26,Bela Bartok,3/8,Nationalism
246,For children sz. 42 Book 1 part 27,Bela Bartok,2/4,Nationalism
247,For children sz. 42 Book 1 part 28,Bela Bartok,3/4,Nationalism
248,For children sz. 42 Book 1 part 29,Bela Bartok,2/4,Nationalism
249,For Children sz. 42 Book 1 Part 2,Bela Bartok,2/4,Nationalism
250,For children sz. 42 Book 1 part 30,Bela Bartok,3/4,Nationalism
251,For children sz. 42 Book 1 part 31,Bela Bartok,2/4,Nationalism
252,For children sz. 42 Book 1 part 32,Bela Bartok,3/4,Nationalism
253,For children sz. 42 Book 1 part 33,Bela Bartok,2/4,Nationalism
254,For children sz. 42 Book 1 part 34,Bela Bartok,2/4,Nationalism
255,For children sz. 42 Book 1 part 35,Bela Bartok,4/4,Nationalism
256,For children sz. 42 Book 1 part 36,Bela Bartok,2/4,Nationalism
257,For children sz. 42 Book 1 part 37,Bela Bartok,2/4,Nationalism
258,For children sz. 42 Book 1 part 38,Bela Bartok,2/4,Nationalism
259,For children sz. 42 Book 1 part 39,Bela Bartok,2/4,Nationalism
260,For Children sz. 42 Book 1 Part 3,Bela Bartok,2/4,Nationalism
261,For children sz. 42 Book 1 part 40,Bela Bartok,2/4,Nationalism
262,For children sz. 42 Book 1 part 41,Bela Bartok,2/4,Nationalism
263,For children sz. 42 Book 1 part 42,Bela Bartok,2/4,Nationalism
264,For Children sz. 42 Book 1 Part 4,Bela Bartok,2/4,Nationalism
265,For Children sz. 42 Book 1 Part 5,Bela Bartok,2/4,Nationalism
266,For Children sz. 42 Book 1 Part 6,Bela Bartok,2/4,Nationalism
267,For Children sz. 42 Book 1 Part 7,Bela Bartok,2/4,Nationalism
268,For children sz. 42 Book 1 part 8,Bela Bartok,2/4,Nationalism
269,For children sz. 42 Book 1 part 9,Bela Bartok,2/4,Nationalism
270,For Children sz. 42 Book 2 part 10,Bela Bartok,3/2,Nationalism
271,For Children sz. 42 Book 2 part 11,Bela Bartok,3/4,Nationalism
272,For Children sz. 42 Book 2 part 12,Bela Bartok,2/4,Nationalism
273,For Children sz. 42 Book 2 part 13,Bela Bartok,2/4,Nationalism
274,For Children sz. 42 Book 2 part 14,Bela Bartok,2/4,Nationalism
275,For Children sz. 42 Book 2 part 15,Bela Bartok,3/4,Nationalism
276,For Children sz. 42 Book 2 part 16,Bela Bartok,3/4,Nationalism
277,For Children sz. 42 Book 2 part 17,Bela Bartok,3/8,Nationalism
278,For Children sz. 42 Book 2 part 18,Bela Bartok,2/4,Nationalism
279,For Children sz. 42 Book 2 part 19,Bela Bartok,6/8,Nationalism
280,For Children sz. 42 Book 2 part 1,Bela Bartok,2/4,Nationalism
281,For Children sz. 42 Book 2 part 20,Bela Bartok,2/4,Nationalism
282,For Children sz. 42 Book 2 part 21,Bela Bartok,2/4,Nationalism
283,For Children sz. 42 Book 2 part 22,Bela Bartok,2/4,Nationalism
284,For Children sz. 42 Book 2 part 23,Bela Bartok,2/4,Nationalism
285,For Children sz. 42 Book 2 part 24,Bela Bartok,2/4,Nationalism
286,For Children sz. 42 Book 2 part 25,Bela Bartok,2/4,Nationalism
287,For Children sz. 42 Book 2 part 26,Bela Bartok,3/8,Nationalism
288,For Children sz. 42 Book 2 part 27,Bela Bartok,2/4,Nationalism
289,For Children sz. 42 Book 2 part 28,Bela Bartok,3/4,Nationalism
290,For Children sz. 42 Book 2 part 29,Bela Bartok,4/4,Nationalism
291,For Children sz. 42 Book 2 part 2,Bela Bartok,2/4,Nationalism
292,For Children sz. 42 Book 2 part 30,Bela Bartok,2/4,Nationalism
293,For Children sz. 42 Book 2 part 31,Bela Bartok,2/4,Nationalism
294,For Children sz. 42 Book 2 part 32,Bela Bartok,2/4,Nationalism
295,For Children sz. 42 Book 2 part 33,Bela Bartok,2/4,Nationalism
296,For Children sz. 42 Book 2 part 34,Bela Bartok,4/4,Nationalism
297,For Children sz. 42 Book 2 part 35,Bela Bartok,4/4,Nationalism
298,For Children sz. 42 Book 2 part 36,Bela Bartok,2/4,Nationalism
299,For Children sz. 42 Book 2 part 37,Bela Bartok,2/4,Nationalism
300,For Children sz. 42 Book 2 part 38,Bela Bartok,2/4,Nationalism
301,For Children sz. 42 Book 2 part 39,Bela Bartok,2/4,Nationalism
302,For Children sz. 42 Book 2 part 3,Bela Bartok,2/4,Nationalism
303,For Children sz. 42 Book 2 part 40,Bela Bartok,6/8,Nationalism
304,For Children sz. 42 Book 2 part 42,Bela Bartok,2/4,Nationalism
305,For Children sz. 42 Book 2 part 43,Bela Bartok,2/4,Nationalism
306,For Children sz. 42 Book 2 part 4,Bela Bartok,2/4,Nationalism
307,For Children sz. 42 Book 2 part 5,Bela Bartok,3/4,Nationalism
308,For Children sz. 42 Book 2 part 6,Bela Bartok,4/8,Nationalism
309,For Children sz. 42 Book 2 part 7,Bela Bartok,4/4,Nationalism
310,For Children sz. 42 Book 2 part 8,Bela Bartok,2/4,Nationalism
311,For Children sz. 42 Book 2 part 9,Bela Bartok,3/4,Nationalism
312,Marche Funebre sz. 75b,Bela Bartok,2/2,Nationalism
313,Mikrokosmos vol.1 part 10,Bela Bartok,3/4,Modern
314,Mikrokosmos vol.1 part 11,Bela Bartok,4/4,Modern
315,Mikrokosmos vol.1 part 12,Bela Bartok,2/2,Modern
316,Mikrokosmos vol.1 part 13,Bela Bartok,3/4,Modern
317,Mikrokosmos vol.1 part 14,Bela Bartok,4/4,Modern
318,Mikrokosmos vol.1 part 15,Bela Bartok,4/4,Nationalism
319,Mikrokosmos vol.1 part 16,Bela Bartok,4/4,Modern
320,Mikrokosmos vol.1 part 17,Bela Bartok,3/4,Modern
321,Mikrokosmos vol.1 part 18,Bela Bartok,4/4,Modern
322,Mikrokosmos vol.1 part 19,Bela Bartok,4/4,Modern
323,Mikrokosmos vol.1 part 1,Bela Bartok,4/4,Modern
324,Mikrokosmos vol.1 part 20,Bela Bartok,4/4,Modern
325,Mikrokosmos vol.1 part 21,Bela Bartok,3/4,Modern
326,Mikrokosmos vol.1 part 22,Bela Bartok,4/4,Modern
327,Mikrokosmos vol.1 part 23,Bela Bartok,4/4,Modern
328,Mikrokosmos vol.1 part 24,Bela Bartok,3/4,Modern
329,Mikrokosmos vol.1 part 25,Bela Bartok,2/4,Modern
330,Mikrokosmos vol.1 part 26,Bela Bartok,4/4,Modern
331,Mikrokosmos vol.1 part 27,Bela Bartok,4/4,Modern
332,Mikrokosmos vol.1 part 28,Bela Bartok,4/4,Modern
333,Mikrokosmos vol.1 part 29,Bela Bartok,4/4,Modern
334,Mikrokosmos vol.1 part 2A,Bela Bartok,4/4,Modern
335,Mikrokosmos vol.1 part 2B,Bela Bartok,4/4,Modern
336,Mikrokosmos vol.1 part 30,Bela Bartok,4/4,Modern
337,Mikrokosmos vol.1 part 31,Bela Bartok,4/4,Modern
338,Mikrokosmos vol.1 part 32,Bela Bartok,3/2,Modern
339,Mikrokosmos vol.1 part 33,Bela Bartok,6/4,Modern
340,Mikrokosmos vol.1 part 34,Bela Bartok,2/2,Modern
341,Mikrokosmos vol.1 part 35,Bela Bartok,4/4,Modern
342,Mikrokosmos vol.1 part 36,Bela Bartok,3/4,Modern
343,Mikrokosmos vol.1 part 3,Bela Bartok,4/4,Modern
344,Mikrokosmos vol.1 part 4,Bela Bartok,4/4,Modern
345,Mikrokosmos vol.1 part 5,Bela Bartok,4/4,Modern
346,Mikrokosmos vol.1 part 6,Bela Bartok,4/4,Modern
347,Mikrokosmos vol.1 part 7,Bela Bartok,4/4,Modern
348,Mikrokosmos vol.1 part 8,Bela Bartok,4/4,Modern
349,Mikrokosmos vol.1 part 9,Bela Bartok,4/4,Modern
350,Mikrokosmos vol.2 part 1 (37),Bela Bartok,2/4,Modern
351,Mikrokosmos vol.2 part 10 (46),Bela Bartok,4/4,Modern
352,Mikrokosmos vol.2 part 11 (47),Bela Bartok,2/2,Modern
353,Mikrokosmos vol.2 part 12 (48),Bela Bartok,5/4,Modern
354,Mikrokosmos vol.2 part 13 (49),Bela Bartok,6/8,Modern
355,Mikrokosmos vol.2 part 14 (50),Bela Bartok,3/4,Modern
356,Mikrokosmos vol.2 part 15 (51),Bela Bartok,6/8,Modern
357,Mikrokosmos vol.2 part 16 (52),Bela Bartok,4/4,Modern
358,Mikrokosmos vol.2 part 17 (53),Bela Bartok,2/2,Nationalism
359,Mikrokosmos vol.2 part 18 (54),Bela Bartok,6/8,Modern
360,Mikrokosmos vol.2 part 2 (38),Bela Bartok,3/4,Modern
361,Mikrokosmos vol.2 part 20 (56),Bela Bartok,3/4,Modern
362,Mikrokosmos vol.2 part 21 (57),Bela Bartok,2/2,Modern
363,Mikrokosmos vol.2 part 22 (58),Bela Bartok,6/8,Nationalism
364,Mikrokosmos vol.2 part 23 (59),Bela Bartok,3/4,Modern
365,Mikrokosmos vol.2 part 24 (60),Bela Bartok,2/2,Modern
366,Mikrokosmos vol.2 part 25 (61),Bela Bartok,2/4,Nationalism
367,Mikrokosmos vol.2 part 26 (62),Bela Bartok,2/4,Modern
368,Mikrokosmos vol.2 part 27 (63),Bela Bartok,4/4,Modern
